Country,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Region,image_url
Afghanistan ,31056997,647500,48,0,23.06,163.07,700,36,3.2,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38,ASIA (EX. NEAR EAST)         ,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg
Albania ,3581655,28748,124.6,1.26,-4.93,21.52,4500,86.5,71.2,21.09,4.42,74.49,3,15.11,5.22,232,188,579,EASTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg
Algeria ,32930091,2381740,13.8,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,101,0.6,298,NORTHERN AFRICA                    ,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg
Andorra ,71201,468,152.1,0,6.6,4.05,19000,100,497.2,2.22,0,97.78,3,8.71,6.25,,,,WESTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg
Angola ,12127071,1246700,9.7,0.13,0,191.19,1900,42,7.8,2.41,0.24,97.35,,45.11,24.2,96,658,246,SUB-SAHARAN AFRICA                 ,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg
Antigua & Barbuda ,69108,443,156,34.54,-6.15,19.46,11000,89,549.9,18.18,4.55,77.27,2,16.93,5.37,38,0.22,743,LATIN AMER. & CARIB    ,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg
Argentina ,39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,95,358,547,LATIN AMER. & CARIB    ,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg
Armenia ,2976372,29800,99.9,0,-6.47,23.28,3500,98.6,195.7,17.55,2.3,80.15,4,12.07,8.23,239,343,418,C.W. OF IND. STATES ,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg
Australia ,20264082,7686850,2.6,0.34,3.98,4.69,29000,100,565.5,6.55,0.04,93.41,1,12.14,7.51,38,262,0.7,OCEANIA                            ,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg
Austria ,8192880,83870,97.7,0,2,4.66,30000,98,452.2,16.91,0.86,82.23,3,8.74,9.76,18,304,678,WESTERN EUROPE                     ,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg
