"PageID","DescriptionURL","ImageURL","ImageSHA1","PixelHeight","PixelWidth","PaintingID","Artist","RealHeightInches","RealWidthInches","DensityHeight","DensityWidth","DensityRatio"
"149071","http://commons.wikimedia.org/wiki/File:Paul_C%C3%A9zanne_101.jpg","http://upload.wikimedia.org/wikipedia/commons/2/2d/Paul_C%C3%A9zanne_101.jpg","cdcdeed0d2667884b7362e6e1a0deb5d26d010f6","5700","3952","29.100.65","Paul C\xe9zanne","21.61417","15.23622","263.71585","259.38191","0.01671"
"151874","http://commons.wikimedia.org/wiki/File:Vincent_Willem_van_Gogh_044.jpg","http://upload.wikimedia.org/wikipedia/commons/7/75/Vincent_Willem_van_Gogh_044.jpg","fd61fa5a06507e0f2e919eac5828f5c4a2951226","5939","7560","Van Gogh catalogues|F=579|JH=1692","Vincent van Gogh","28.70000","36.20000","206.93380","208.83978","0.00921"
"809945","http://commons.wikimedia.org/wiki/File:Whitehousenight.jpg","http://upload.wikimedia.org/wikipedia/commons/1/16/Whitehousenight.jpg","3b52b91662bdef61268b9ba459e04214913142ce","10528","12682","Van Gogh catalogues|F=766|JH=2031","Vincent van Gogh","28.70000","36.20000","366.82927","350.33149","0.04709"
"1595836","http://commons.wikimedia.org/wiki/File:Jean_Jacques_Henner_-_Madame_Uhring.jpg","http://upload.wikimedia.org/wikipedia/commons/e/e2/Jean_Jacques_Henner_-_Madame_Uhring.jpg","e4355ce986b8c04a8409ee52c68eefdb6bb90bb7","3212","2177","1963.10.33","Jean-Jacques Henner","10.70000","7.40000","300.18692","294.18919","0.02039"
"1869973","http://commons.wikimedia.org/wiki/File:Blake_jacobsladder.jpg","http://upload.wikimedia.org/wikipedia/commons/e/ea/Blake_jacobsladder.jpg","1c85a5c6399839d4e4e24f060c97807525d6269e","4536","3564","1949.11.12.2","William Blake","14.56693","11.49606","311.39027","310.01918","0.00442"
"2606381","http://commons.wikimedia.org/wiki/File:Anton_Mauve_-_Morgenrit_langs_het_strand.jpg","http://upload.wikimedia.org/wikipedia/commons/c/c0/Anton_Mauve_-_Morgenrit_langs_het_strand.jpg","1574b22a429cd3d5ea1dde511c6ec4a572651a53","3648","5700","SK-A-3602","Anton Mauve","17.70000","27.60000","206.10169","206.52174","0.00204"
"2702957","http://commons.wikimedia.org/wiki/File:Vincent_Van_Gogh_0021.jpg","http://upload.wikimedia.org/wikipedia/commons/2/2c/Vincent_Van_Gogh_0021.jpg","49ee42cdb82de7461a1a5b7e4fcb472e45b874f4","5820","4309","56.13","Vincent van Gogh","28.50000","21.00000","204.21053","205.19048","0.00480"
"3065379","http://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Sorrow.jpg","http://upload.wikimedia.org/wikipedia/commons/5/5a/Vincent_van_Gogh_-_Sorrow.jpg","8a99125d7d954d9f8ed0b8f095f35048b5007594","3691","2336","Van Gogh catalogues|F=929a|JH=130","Vincent van Gogh","17.50000","10.60000","210.91429","220.37736","0.04487"
"6363880","http://commons.wikimedia.org/wiki/File:Robert_Owen_by_William_Henry_Brooke.jpg","http://upload.wikimedia.org/wikipedia/commons/4/4d/Robert_Owen_by_William_Henry_Brooke.jpg","f7de890949feea607c81e7ea711d882182358ebb","3035","2400","NPG 943","William Henry Brooke","10.70000","8.50000","283.64486","282.35294","0.00458"
"6371178","http://commons.wikimedia.org/wiki/File:William_Ewart_Gladstone_by_Prince_Pierre_Troubetskoy.jpg","http://upload.wikimedia.org/wikipedia/commons/8/8e/William_Ewart_Gladstone_by_Prince_Pierre_Troubetskoy.jpg","788592d11ae9894551f04cea65d8ed670019d9b4","3270","2400","NPG 2159","Prince Pierre Troubetskoy","10.20000","7.50000","320.58824","320.00000","0.00184"
"6491390","http://commons.wikimedia.org/wiki/File:Van_Gogh_Self-Portrait_with_Straw_Hat_1887-Metropolitan.jpg","http://upload.wikimedia.org/wikipedia/commons/a/a8/Van_Gogh_Self-Portrait_with_Straw_Hat_1887-Metropolitan.jpg","00a4b6bdc9699bead59431617a249587cfb14c44","5572","4411","Van Gogh catalogues|F=365v|JH=1354","Vincent van Gogh","16.00000","12.50000","348.25000","352.88000","0.01330"
"6860814","http://commons.wikimedia.org/wiki/File:Gondola_in_Venice_1908_Claude_Monet.jpg","http://upload.wikimedia.org/wikipedia/commons/8/8d/Gondola_in_Venice_1908_Claude_Monet.jpg","9bd7946681882ed233da0afe5a1107f9e984e6f8","10488","8196","Monet|W=1772","Claude Monet","31.90000","25.70000","328.77743","318.91051","0.03094"
"6918481","http://commons.wikimedia.org/wiki/File:Portrait_of_the_Postman_Joseph_Roulin_(1888)_van_Gogh_Getty.jpg","http://upload.wikimedia.org/wikipedia/commons/2/27/Portrait_of_the_Postman_Joseph_Roulin_%281888%29_van_Gogh_Getty.jpg","983f222c0792a9ad38f24eea81610b3afd97a26a","5455","4146","Van Gogh catalogues|F=1458|JH=1536","Vincent van Gogh","12.62500","9.62500","432.07921","430.75325","0.00308"
"7058518","http://commons.wikimedia.org/wiki/File:Scheveningen_Woman.jpg","http://upload.wikimedia.org/wikipedia/commons/7/77/Scheveningen_Woman.jpg","28e65cc7098fdc1d22769a01a256e099e0149580","2811","1131","Van Gogh catalogues|F=871|JH=85","Vincent van Gogh","9.30000","3.70000","302.25806","305.67568","0.01131"
"7195974","http://commons.wikimedia.org/wiki/File:Cezanne_-_Allee_im_Jas_de_Bouffan.jpg","http://upload.wikimedia.org/wikipedia/commons/9/9b/Cezanne_-_Allee_im_Jas_de_Bouffan.jpg","22ebeacdae6155ee766c785789cea01ab323f78e","4231","5194","L697","Paul C\xe9zanne","15.00000","18.10000","282.06667","286.96133","0.01735"
"7276652","http://commons.wikimedia.org/wiki/File:Gogh,_Vincent_van_-_Landscape_with_House_and_Ploughman.jpg","http://upload.wikimedia.org/wikipedia/commons/7/71/Gogh%2C_Vincent_van_-_Landscape_with_House_and_Ploughman.jpg","e9465f83f0d6851852ad0f35751838e7676e5c5f","4389","5534","Van Gogh catalogues|F=727|JH=1877","Vincent van Gogh","13.00000","16.30000","337.61538","339.50920","0.00561"
"7284207","http://commons.wikimedia.org/wiki/File:Trouillebert,_Paul_Desire_-_Bank_of_the_Loire_Near_Chouze.jpg","http://upload.wikimedia.org/wikipedia/commons/9/9c/Trouillebert%2C_Paul_Desire_-_Bank_of_the_Loire_Near_Chouze.jpg","34f4d367a1be9e532e9a8f1d626f1b3d2e4d2d7d","2977","3485","Bank of the Loire Near Chouze","Paul D\xe9sir\xe9 Trouillebert","11.40000","13.40000","261.14035","260.07463","0.00410"
"7867410","http://commons.wikimedia.org/wiki/File:Oarsmen_G65.jpg","http://upload.wikimedia.org/wikipedia/commons/c/c6/Oarsmen_G65.jpg","3f4f46c3489ced11bfaeb9d1f023a64e7b232efe","3551","4542","54.19","Thomas Eakins","14.00000","18.00000","253.64286","252.33333","0.00519"
"8040213","http://commons.wikimedia.org/wiki/File:%C3%89douard_Manet_-_Two_apples.jpg","http://upload.wikimedia.org/wikipedia/commons/4/42/%C3%89douard_Manet_-_Two_apples.jpg","a84bfd13708f6974027cb678d778c6467bf2a356","3000","2226","RW II., No. 612","\xc9douard Manet","7.40000","5.50000","405.40541","404.72727","0.00168"
"8332724","http://commons.wikimedia.org/wiki/File:Natu-aki_kusa_zu_byoubu.jpg","http://upload.wikimedia.org/wikipedia/commons/2/20/Natu-aki_kusa_zu_byoubu.jpg","07d143dd65572611f11d8a4d6488bed4d22f83cb","15348","16972","A-11189","Sakai Hoitsu","64.80000","71.60000","236.85185","237.03911","0.00079"
"8379845","http://commons.wikimedia.org/wiki/File:Paul_Gauguin_-_Parahi_te_marae.jpg","http://upload.wikimedia.org/wikipedia/commons/6/6b/Paul_Gauguin_-_Parahi_te_marae.jpg","0995428748f50736c7692d006c478bd833b02ba2","2039","2531","1962.42","Paul Gauguin","7.30000","9.00000","279.31507","281.22222","0.00683"
"8947760","http://commons.wikimedia.org/wiki/File:WLA_metmuseum_Bouquet_of_Chrysanthemums_by_Auguste_Renoir.jpg","http://upload.wikimedia.org/wikipedia/commons/3/35/WLA_metmuseum_Bouquet_of_Chrysanthemums_by_Auguste_Renoir.jpg","9caf3ba763f8c1d9ba4f78879bcf29e65cb696cd","5488","4614","2003.20.10","Pierre-Auguste Renoir","25.98425","21.88976","211.20485","210.78345","0.00200"
"8977210","http://commons.wikimedia.org/wiki/File:Theo_van_Doesburg_034.jpg","http://upload.wikimedia.org/wikipedia/commons/3/39/Theo_van_Doesburg_034.jpg","4895422c9c0b3cf2a554c6303dd126f9d80709cc","0776","1200","AB4040","Theo van Doesburg","3.50000","5.50000","221.71429","218.18182","0.01619"
"9059012","http://commons.wikimedia.org/wiki/File:Gauguin_P%C3%AAcheuses_de_Go%C3%A9mon.jpg","http://upload.wikimedia.org/wikipedia/commons/a/a8/Gauguin_P%C3%AAcheuses_de_Go%C3%A9mon.jpg","08b5c6232b4f5e6af97d3343ed92781bf2db8711","3106","3683","Gauguin catalogues|W=392","Paul Gauguin","10.90000","12.80000","284.95413","287.73438","0.00976"
"9100630","http://commons.wikimedia.org/wiki/File:Van_Gogh_-_Bauer_beim_Umgraben.jpeg","http://upload.wikimedia.org/wikipedia/commons/b/bb/Van_Gogh_-_Bauer_beim_Umgraben.jpeg","e5376b9dea94ba2d14f87379cafaec62f0f3ad0a","4050","3858","Van Gogh catalogues|F=12|JH=185","Vincent van Gogh","11.81102","11.41732","342.90000","337.90759","0.01477"
"9100648","http://commons.wikimedia.org/wiki/File:Van_Gogh_-_Zimmermannswerstatt.jpeg","http://upload.wikimedia.org/wikipedia/commons/d/d8/Van_Gogh_-_Zimmermannswerstatt.jpeg","51b003ecef80bb21d80510fa99fd75ab1f944b31","2328","3882","Van Gogh catalogues|F=939|JH=150","Vincent van Gogh","11.22047","18.50394","207.47789","209.79319","0.01116"
"9103139","http://commons.wikimedia.org/wiki/File:Van_Gogh_-_Heide_mit_Schubkarren.jpeg","http://upload.wikimedia.org/wikipedia/commons/2/22/Van_Gogh_-_Heide_mit_Schubkarren.jpeg","dedd2b4cef15c305e06d026e9a0cd49377ed8ffc","2616","3846","Van Gogh catalogues|F=1100|JH=400","Vincent van Gogh","9.80000","14.10000","266.93878","272.76596","0.02183"
"9103208","http://commons.wikimedia.org/wiki/File:Van_Gogh_-_Bauernhaus_zwischen_B%C3%A4umen.jpeg","http://upload.wikimedia.org/wikipedia/commons/3/3c/Van_Gogh_-_Bauernhaus_zwischen_B%C3%A4umen.jpeg","eb86592aa3f3e6af54efb75e2ffbec234b6bf557","2730","3870","Van Gogh catalogues|F=18|JH=397","Vincent van Gogh","11.22047","15.55118","243.30526","248.85570","0.02281"
